Title;Hours Viewed;Views
Burlesque (2010);18300000;9200000
Skyscraper (2018);15700000;9200000
Falling Inn Love;15000000;9100000
A Boy Called Christmas;16200000;9100000
Tarot (2024);13900000;9100000
Transformers: Dark of the Moon;23400000;9100000
Senior Year;17200000;9100000
The Platform 2 // El hoyo 2;15300000;9100000
Maid in Manhattan;16000000;9100000
The Hunger Games: Catching Fire;22100000;9100000
The Invitation (2022);15800000;9100000
Retro;24600000;9000000
Last Christmas (2019);15500000;9000000
A Royal Date for Christmas;13300000;9000000
Set It Up;16000000;9000000
The Truth About Jussie Smollett?;13100000;9000000
Hanna (2011);16800000;9000000
Shark Whisperer;13400000;9000000
Find Me Falling;14100000;9000000
Bridesmaids (2011);18400000;8900000
Jaws;18300000;8900000
Elektra (2005);14400000;8900000
High Plains Drifter;15600000;8900000
The Addams Family (1991);14800000;8900000
The Woman in the Line // La mujer de la fila;15800000;8900000
Primal Fear;19300000;8900000
Don't Die: The Man Who Wants to Live Forever;13400000;8900000
Teenage Mutant Ninja Turtles 2;16800000;8900000
The Hitman's Wife's Bodyguard;14800000;8900000
Daddy's Home (2015);14400000;8900000
Baby Driver;16900000;8900000
AKA;18200000;8800000
Ponyo // 崖の上のポニョ;14900000;8800000
Taxi (2004);14300000;8800000
Hancock (2008);13700000;8800000
Talk to Me (2022);13900000;8800000
Bright;17100000;8700000
The Call of the Wild (2020);14600000;8700000
The Lovely Bones;19800000;8700000
Polar;17300000;8700000
